0,0.084651
3,0.151478
6,0.165784
9,0.201655
12,0.177270
15,0.186979
18,0.247277
21,0.292404
24,0.261734
27,0.293808
30,0.319880
33,0.446799
36,0.516724
39,0.351181
42,0.405621
0,0.098358
3,0.112568
6,0.205109
9,0.219712
12,0.251230
15,0.193552
18,0.280557
21,0.334163
24,0.298128
27,0.472019
30,0.424700
33,0.472833
36,0.442932
39,0.570194
42,0.592204
0,0.114599
3,0.146524
6,0.105901
9,0.123172
12,0.212823
15,0.269729
18,0.302527
21,0.227479
24,0.297527
27,0.386452
30,0.395382
33,0.488061
36,0.538644
39,0.530108
42,0.522007
0,0.078059
3,0.087667
6,0.165296
9,0.175914
12,0.230221
15,0.164492
18,0.215204
21,0.286062
24,0.369840
27,0.454956
30,0.485648
33,0.501402
36,0.595332
39,0.535128
42,0.570679
0,0.081354
3,0.090617
6,0.150029
9,0.187638
12,0.235847
15,0.291503
18,0.337953
21,0.419554
24,0.354554
27,0.411782
30,0.446249
33,0.547957
36,0.543165
39,0.426664
42,0.664195
0,0.055769
3,0.112529
6,0.122334
9,0.159135
12,0.175019
15,0.239702
18,0.223642
21,0.219090
24,0.347800
27,0.375932
30,0.470956
33,0.453488
36,0.608104
39,0.565310
42,0.665356
0,0.070856
3,0.110634
6,0.165937
9,0.220969
12,0.218111
15,0.163196
18,0.287529
21,0.300134
24,0.258450
27,0.418879
30,0.513423
33,0.321960
36,0.522173
39,0.521028
42,0.442526
0,0.067250
3,0.159132
6,0.124799
9,0.168900
12,0.137896
15,0.251336
18,0.240746
21,0.292137
24,0.312297
27,0.396729
30,0.589410
33,0.516231
36,0.417654
39,0.460913
42,0.448662
0,0.058424
3,0.087954
6,0.155299
9,0.148579
12,0.224307
15,0.236301
18,0.308912
21,0.382587
24,0.323680
27,0.326698
30,0.509847
33,0.490605
36,0.413656
39,0.557076
42,0.496843
0,0.067348
3,0.094022
6,0.150053
9,0.201323
12,0.193622
15,0.184470
18,0.319791
21,0.246123
24,0.406508
27,0.443878
30,0.495257
33,0.345252
36,0.446665
39,0.360889
42,0.542818
0,0.069546
3,0.082956
6,0.130878
9,0.187124
12,0.119836
15,0.288253
18,0.324740
21,0.191906
24,0.410539
27,0.289768
30,0.346974
33,0.515857
36,0.668461
39,0.505371
42,0.349896
